ACCOUNTNO,PRED_IMP,LAND_VAL,SOLD_PRICE,TOT_VAL,PRED_TOT
343950072,249475.8686651656,100900,385000,374300,350375.8686651656
343950078,243089.77555613284,100500,397250,337100,343589.77555613284
343950105,295193.52368370275,112200,433000,398700,407393.52368370275
343960004,328266.14976328454,160000,478800,469900,488266.14976328454
343960005,402628.63451131555,167800,557000,539000,570428.6345113155
344140004,342591.02702535427,178900,555000,554400,521491.02702535427
344140025,328719.58389721875,170300,530000,533400,499019.58389721875
344150010,224556.50546049536,82600,346000,275700,307156.50546049536
344190017,372532.44922410644,120200,455000,492900,492732.44922410644
344200209,294137.67926171946,103000,426900,404300,397137.67926171946
344210016,273496.8775488362,124500,410000,404000,397996.8775488362
344310014,413401.05649220536,159600,672000,595600,573001.0564922054
344340030,315435.7790853335,124200,459900,437300,439635.7790853335
344520092,291201.9039857734,120600,460000,431500,411801.9039857734
344520101,262560.2045482773,123000,443000,428000,385560.2045482773
344560009,421576.6413679606,86500,400000,415100,508076.6413679606
344740060,280387.99659330613,120200,429000,408200,400587.99659330613
344890006,228340.2850175634,57500,308000,288000,285840.2850175634
344910023,412716.49261018826,158700,495000,538400,571416.4926101882
345060019,221306.62706090484,56200,252000,247100,277506.62706090487
345440120,358342.4372958294,187400,524900,562900,545742.4372958294
345490010,353519.92507094477,153900,717999,565900,507419.92507094477
345500033,553660.3633280694,197900,895400,862000,751560.3633280694
345630015,270474.72052373324,150100,390000,396300,420574.72052373324
345630022,301485.8407733272,157800,464925,477800,459285.8407733272
345990110,235279.89583001158,121300,373200,328600,356579.8958300116
345990114,232087.19098819222,123900,357000,322900,355987.1909881922
345990127,262213.2126440195,131800,399700,386700,394013.2126440195
345990129,263074.1553097697,129000,395000,393900,392074.1553097697
346070001,253277.98394940642,113600,347590,345800,366877.9839494064
346070003,264435.9720412253,112800,400000,372400,377235.9720412253
346070004,261127.8984889855,113900,350720,359700,375027.8984889855
346070005,246602.15635026954,112400,358780,349800,359002.15635026956
346070007,296325.9513682062,118800,411180,462700,415125.9513682062
346070013,266195.73201668786,113900,357710,357800,380095.73201668786
346070014,263998.3659616149,113600,366130,361400,377598.3659616149
346070015,267213.9312665163,113300,357155,359400,380513.9312665163
346100109,278835.0105361036,156000,546346,539800,434835.0105361036
